	SNP	Chromosome	Position	trait1	symbol
869	ENSG00000180479	19	38045683	0.0833489896757615	ZNF571
870	ENSG00000186496	18	32946660	0.0834454205849894	ZNF396
871	ENSG00000196705	19	21324826	0.0835829553011367	ZNF431
872	ENSG00000197647	19	12125546	0.0839508085881449	ZNF433
873	ENSG00000108511	17	46671638	0.0839663691804979	HOXB6
874	ENSG00000171735	1	6845383	0.0840744831238919	CAMTA1
875	ENSG00000186814	18	32831031	0.0858619495284833	ZSCAN30
876	ENSG00000116990	1	40361097	0.0867884628250321	MYCL
877	ENSG00000131848	19	56732680	0.087914118767652	ZSCAN5A
878	ENSG00000161940	17	6926338	0.0884272084482185	BCL6B
879	ENSG00000136327	14	37049783	0.0887431326580256	NKX2-8
880	ENSG00000131127	4	331602	0.0897390010799215	ZNF141
881	ENSG00000164916	7	4683387	0.0897701080186634	FOXK1
882	ENSG00000188227	19	37997840	0.0901757194806933	ZNF793
883	ENSG00000148143	9	109625377	0.0905290310339014	ZNF462
884	ENSG00000162714	1	247460713	0.0906599839683267	ZNF496
885	ENSG00000008196	6	50786435	0.0915360778838519	TFAP2B
886	ENSG00000187792	22	24083768	0.0919049944245325	ZNF70
887	ENSG00000245680	19	37672480	0.0919982406478904	ZNF585B
888	ENSG00000214336	2	88747725	0.0972147972195758	FOXI3
889	ENSG00000204231	6	33161364	0.0973759048587081	RXRB
890	ENSG00000248483	5	93070507	0.0987433666485473	POU5F2
891	ENSG00000181666	19	37803738	0.099002912670067	HKR1
892	ENSG00000186446	3	44771087	0.10005600144694	ZNF501
893	ENSG00000168269	5	169532900	0.101515701629268	FOXI1
894	ENSG00000106536	7	39017597	0.102685567189245	POU6F2
895	ENSG00000101190	20	61472466	0.104533022989686	TCFL5
896	ENSG00000161277	19	36525886	0.104680523432571	THAP8
897	ENSG00000167981	16	3486103	0.104933666718074	ZNF597
898	ENSG00000120669	13	36742930	0.104938465910309	SOHLH2
899	ENSG00000020633	1	25226001	0.105739721722704	RUNX3
900	ENSG00000113722	5	149546357	0.107341583602782	CDX1
901	ENSG00000234616	8	143738873	0.109012250376838	JRK
902	ENSG00000121864	3	179040778	0.109812865346116	ZNF639
903	ENSG00000167555	19	52901101	0.110028178509014	ZNF528
904	ENSG00000173451	12	72056788	0.11155412456199	THAP2
905	ENSG00000136603	3	170075465	0.111731579101994	SKIL
906	ENSG00000198945	6	130334843	0.111866698358044	L3MBTL3
907	ENSG00000212993	8	128426534	0.112006883732324	POU5F1B
908	ENSG00000118260	2	208394460	0.112365643344702	CREB1
909	ENSG00000172818	11	65554492	0.11467975903181	OVOL1
910	ENSG00000136866	9	115800659	0.117352364239434	ZFP37
911	ENSG00000196378	8	145998498	0.118008994805929	ZNF34
912	ENSG00000105991	7	27132611	0.118767954516847	HOXA1
913	ENSG00000250312	4	124385	0.119138977718875	ZNF718
914	ENSG00000117595	1	209959035	0.119400159089168	IRF6
915	ENSG00000197576	7	27168125	0.120246486571322	HOXA4
916	ENSG00000107249	9	3827697	0.121500246784242	GLIS3
917	ENSG00000185513	20	42136319	0.121722503416398	L3MBTL1
918	ENSG00000147180	23	84498996	0.121841029078437	ZNF711
919	ENSG00000095951	6	12008994	0.121913001276513	HIVEP1
920	ENSG00000196693	10	43084554	0.122836627277917	ZNF33B
921	ENSG00000169057	23	153287023	0.123147949745569	MECP2
922	ENSG00000060566	19	4153597	0.123909412728557	CREB3L3
923	ENSG00000068323	23	48886241	0.124579058586668	TFE3
924	ENSG00000188868	19	12428290	0.124793940796702	ZNF563
925	ENSG00000177030	11	644232	0.125009420186288	DEAF1
926	ENSG00000147124	23	47305277	0.125995999908538	ZNF41
927	ENSG00000234444	7	63767836	0.126366172932522	ZNF736
928	ENSG00000166188	16	58028571	0.126744322931666	ZNF319
929	ENSG00000198429	19	11998598	0.126876088178687	ZNF69
930	ENSG00000187607	17	15602890	0.126930242199772	ZNF286A
931	ENSG00000154957	17	11880755	0.127403890763318	ZNF18
932	ENSG00000025434	11	47269850	0.130690236533799	NR1H3
933	ENSG00000154832	18	47808712	0.131573724542235	CXXC1
934	ENSG00000198633	19	52932439	0.131617160383016	ZNF534
935	ENSG00000128710	2	176973517	0.131694105171558	HOXD10
936	ENSG00000125482	9	135251007	0.131878696712875	TTF1
937	ENSG00000106459	7	129251554	0.132138773355667	NRF1
938	ENSG00000168661	19	35417806	0.133715268617674	ZNF30
939	ENSG00000105866	7	21467651	0.134214218028744	SP4
940	ENSG00000187140	1	63788729	0.135389349269595	FOXD3
941	ENSG00000177463	3	14989090	0.135505960286526	NR2C2
942	ENSG00000005513	16	1031807	0.135690665622755	SOX8
943	ENSG00000096654	6	27418521	0.137493930680109	ZNF184
944	ENSG00000184436	22	21353392	0.137809322169403	THAP7
945	ENSG00000169981	3	44690218	0.137923019794877	ZNF35
946	ENSG00000065970	12	8185298	0.138220953153721	FOXJ2
947	ENSG00000173875	19	12721731	0.139149882019315	ZNF791
948	ENSG00000229544	10	126135591	0.140011773023703	NKX1-2
949	ENSG00000130751	19	47523076	0.140696349624344	NPAS1
950	ENSG00000116833	1	199996729	0.140998341606918	NR5A2
951	ENSG00000146285	6	108025307	0.141130302598432	SCML4
952	ENSG00000096401	6	44355261	0.141344795852235	CDC5L
953	ENSG00000180318	12	85673884	0.141966118622735	ALX1
954	ENSG00000162702	1	200374067	0.14338003465051	ZNF281
955	ENSG00000143614	1	153777200	0.143811146817945	GATAD2B
956	ENSG00000109320	4	103422485	0.143814109333755	NFKB1
957	ENSG00000117036	1	157090982	0.144358169553363	ETV3
958	ENSG00000197779	23	47696300	0.145849219025922	ZNF81
959	ENSG00000124459	19	44416780	0.146831825983409	ZNF45
960	ENSG00000175592	11	65659519	0.147420499002548	FOSL1
961	ENSG00000152454	19	58452200	0.147802683704996	ZNF256
962	ENSG00000171467	6	43274871	0.14964003309761	ZNF318
963	ENSG00000112033	6	35310334	0.150341457411112	PPARD
964	ENSG00000130856	18	74534562	0.150580603223117	ZNF236
965	ENSG00000148200	9	127279553	0.151044303549383	NR6A1
966	ENSG00000183779	8	37553268	0.151219421216545	ZNF703
967	ENSG00000162676	1	92940318	0.151433049783061	GFI1
968	ENSG00000164379	6	1312674	0.151612223019119	FOXQ1
969	ENSG00000101076	20	42984339	0.152995865033879	HNF4A
970	ENSG00000160961	19	14800612	0.153257094301053	ZNF333
971	ENSG00000166823	15	90291891	0.153583074999059	MESP1
972	ENSG00000149054	11	6947634	0.15379641000985	ZNF215
973	ENSG00000169740	10	44139306	0.154709582053783	ZNF32
974	ENSG00000261787	8	67858735	0.154716685719748	TCF24
975	ENSG00000176678	16	86609973	0.155256853537657	FOXL1
976	ENSG00000130684	20	25654850	0.155815594230181	ZNF337
977	ENSG00000074657	18	56529831	0.156942499158571	ZNF532
978	ENSG00000083844	19	57702867	0.159936658056761	ZNF264
979	ENSG00000120075	17	46668618	0.160367559980944	HOXB5
980	ENSG00000124496	6	42192668	0.161432306176957	TRERF1
981	ENSG00000182742	17	46652874	0.16171585715232	HOXB4
982	ENSG00000182158	7	137559724	0.163550425514136	CREB3L2
983	ENSG00000198551	19	11670188	0.166844797033001	ZNF627
984	ENSG00000130940	1	10696660	0.167639758540491	CASZ1
985	ENSG00000181315	6	26636517	0.169592739615104	ZNF322
986	ENSG00000185278	1	173837219	0.17259977444745	ZBTB37
988	ENSG00000198455	23	57618268	0.173294433582436	ZXDB
989	ENSG00000130818	19	9638666	0.173938070719322	ZNF426
990	ENSG00000112592	6	170863389	0.174492561521209	TBP
991	ENSG00000168813	19	32836499	0.174505597288349	ZNF507
992	ENSG00000166268	12	70219083	0.174970430550197	MYRFL
993	ENSG00000083828	19	58281037	0.175012837260849	ZNF586
994	ENSG00000100811	14	100704634	0.175404950909117	YY1
995	ENSG00000171604	5	139026883	0.177039716008485	CXXC5
996	ENSG00000109381	4	139978373	0.178970424000856	ELF2
997	ENSG00000185668	1	38509522	0.179298736119056	POU3F1
998	ENSG00000161405	17	37921197	0.179538935094929	IKZF3
999	ENSG00000169926	15	31619769	0.179955230089044	KLF13
1000	ENSG00000140836	16	72816783	0.180648834949635	ZFHX3
1001	ENSG00000170949	19	53569858	0.180953336964336	ZNF160
1002	ENSG00000197372	19	23708432	0.181755580880533	ZNF675
1003	ENSG00000172888	3	40566368	0.182253376372061	ZNF621
1004	ENSG00000173039	11	65421066	0.18316765462414	RELA
1005	ENSG00000168772	4	105389468	0.184257842573902	CXXC4
1006	ENSG00000104221	8	37700785	0.185709228625663	BRF2
1007	ENSG00000106261	7	99613203	0.185831502422325	ZKSCAN1
1008	ENSG00000108001	10	131633546	0.185857410598517	EBF3
1009	ENSG00000123933	4	2249158	0.187087887538353	MXD4
1010	ENSG00000205927	21	34398152	0.191426458696922	OLIG2
1011	ENSG00000133794	11	13298198	0.192984003832611	ARNTL
1012	ENSG00000168769	4	106067449	0.195548554570228	TET2
1013	ENSG00000112561	6	41651715	0.195857061469419	TFEB
1014	ENSG00000204519	19	58193336	0.200004575685289	ZNF551
1015	ENSG00000167081	9	128509623	0.201826571626305	PBX3
1016	ENSG00000186300	19	2841432	0.202662942117473	ZNF555
1017	ENSG00000120784	19	38104649	0.203729204496953	ZFP30
1018	ENSG00000128000	19	40534166	0.203947154023186	ZNF780B
1019	ENSG00000104447	8	116420723	0.204184194208893	TRPS1
1020	ENSG00000197935	6	28962561	0.208652275991683	ZNF311
1021	ENSG00000166888	12	57489190	0.208712711291091	STAT6
1022	ENSG00000186812	18	32820993	0.209203393997633	ZNF397
1023	ENSG00000128709	2	176987087	0.210383064420732	HOXD9
1024	ENSG00000125820	20	21491647	0.213456670221404	NKX2-2
1025	ENSG00000074047	2	121493198	0.213947789340654	GLI2
1026	ENSG00000236287	11	10871443	0.2144491576598	ZBED5
1027	ENSG00000204335	2	171571860	0.216207328296659	SP5
1028	ENSG00000184517	16	75182389	0.216556147781278	ZFP1
1029	ENSG00000124920	11	61520113	0.216958031508912	MYRF
1030	ENSG00000121075	17	59529764	0.220269283295969	TBX4
1031	ENSG00000164296	5	149372680	0.222553106121731	TIGD6
1032	ENSG00000171295	19	11925098	0.223625607871442	ZNF440
1033	ENSG00000179456	1	244214584	0.223729644594856	ZBTB18
1034	ENSG00000184221	21	34442449	0.223914341567878	OLIG1
1035	ENSG00000180884	19	35447257	0.225048335363121	ZNF792
1036	ENSG00000172000	19	2867332	0.225206328190212	ZNF556
1037	ENSG00000118418	6	79910961	0.226697340955982	HMGN3
1038	ENSG00000178177	4	17842821	0.227299045173039	LCORL
1039	ENSG00000164920	8	99956630	0.227774235845587	OSR2
1040	ENSG00000197050	19	37498758	0.229792641770191	ZNF420
1041	ENSG00000198816	19	7580177	0.229826267005006	ZNF358
1042	ENSG00000170903	11	105866349	0.230546138017137	MSANTD4
1043	ENSG00000172006	19	2819871	0.231523178628381	ZNF554
1044	ENSG00000186660	11	58346583	0.231528941414398	ZFP91
1045	ENSG00000124216	20	48599535	0.231963161367655	SNAI1
1046	ENSG00000184677	1	22778343	0.233014845762501	ZBTB40
1047	ENSG00000135373	11	34642639	0.233373786675984	EHF
1048	ENSG00000006468	7	13930852	0.233428515609438	ETV1
1049	ENSG00000179627	14	105266932	0.233688496893359	ZBTB42
1050	ENSG00000091010	5	145718586	0.235621813612881	POU4F3
1051	ENSG00000167232	19	23487792	0.236061884843975	ZNF91
1052	ENSG00000177494	3	111311746	0.237284402900789	ZBED2
1053	ENSG00000138083	2	45168901	0.237612703566368	SIX3
1054	ENSG00000110851	12	108126642	0.237816331365094	PRDM4
1055	ENSG00000178951	19	4044361	0.239023122791382	ZBTB7A
1056	ENSG00000143842	1	204042242	0.240523555799019	SOX13
1057	ENSG00000025293	20	34359904	0.243252719713484	PHF20
1058	ENSG00000063587	23	152599612	0.245814683004795	ZNF275
1059	ENSG00000126368	17	38249039	0.247910791234195	NR1D1
1060	ENSG00000176222	19	44376514	0.248306021245559	ZNF404
1061	ENSG00000048405	7	126986843	0.249953940945152	ZNF800
1062	ENSG00000117000	1	40627044	0.250646409983095	RLF
1063	ENSG00000123268	12	51157492	0.251427328748471	ATF1
1064	ENSG00000004848	23	25021810	0.252820725149896	ARX
1065	ENSG00000151500	11	134118172	0.253665071236553	THYN1
1066	ENSG00000124664	6	34505578	0.253959455448471	SPDEF
1067	ENSG00000106004	7	27180670	0.257074318034325	HOXA5
1068	ENSG00000179774	10	69990385	0.25841701467628	ATOH7
1069	ENSG00000176024	19	52430399	0.26199681603159	ZNF613
1070	ENSG00000166716	15	85291865	0.262385205933145	ZNF592
1071	ENSG00000251247	19	37341262	0.262735914771006	ZNF345
1072	ENSG00000213096	19	24216275	0.262738337088486	ZNF254
1073	ENSG00000196456	7	150065878	0.262949508043932	ZNF775
1074	ENSG00000161298	19	37095718	0.264667332445591	ZNF382
1075	ENSG00000196946	12	8290732	0.26528321039974	ZNF705A
1076	ENSG00000188313	3	146232966	0.268566378909535	PLSCR1
1077	ENSG00000160094	1	33722145	0.271918347412002	ZNF362
1078	ENSG00000186918	8	28203101	0.272703685940409	ZNF395
1079	ENSG00000251192	23	46357161	0.275619913650665	ZNF674
1080	ENSG00000119919	10	101292689	0.276613473154481	NKX2-3
1081	ENSG00000197808	19	37128093	0.279284330836019	ZNF461
1082	ENSG00000152443	19	58258163	0.280995389385834	ZNF776
1083	ENSG00000169594	15	83924654	0.281180450307884	BNC1
1084	ENSG00000186790	1	47881743	0.281531144986594	FOXE3
1085	ENSG00000164185	5	121465316	0.282605738940988	ZNF474
1086	ENSG00000256229	19	20278036	0.283346048907421	ZNF486
1087	ENSG00000131408	19	50832909	0.283545927235034	NR1H2
1088	ENSG00000176165	14	29235049	0.284236291578635	FOXG1
1089	ENSG00000269404	19	50922194	0.284580498229163	SPIB
1090	ENSG00000135374	11	34500339	0.285559708740699	ELF5
1091	ENSG00000256683	19	52467595	0.285855551455837	ZNF350
1092	ENSG00000196357	19	36673187	0.286463720808453	ZNF565
1093	ENSG00000182903	4	419603	0.287311633019289	ZNF721
1094	ENSG00000143355	1	197881036	0.288464124665814	LHX9
1095	ENSG00000144852	3	119499330	0.289790832626755	NR1I2
1096	ENSG00000170608	19	46367246	0.290879017461594	FOXA3
1097	ENSG00000184058	22	19744225	0.291181211342715	TBX1
1098	ENSG00000185155	1	226411318	0.292231080234832	MIXL1
1099	ENSG00000173275	23	134478720	0.292328750252219	ZNF449
1100	ENSG00000158691	6	28346731	0.293646222218435	ZSCAN12
1101	ENSG00000214717	23	2404454	0.294964955833906	ZBED1
1102	ENSG00000174446	15	66782472	0.29764308878238	SNAPC5
1103	ENSG00000105708	19	19821279	0.298055975454377	ZNF14
1104	ENSG00000101544	18	77866914	0.299100207151427	ADNP2
1105	ENSG00000173253	9	1050353	0.302084010424499	DMRT2
1106	ENSG00000185404	2	231191898	0.302170681277474	SP140L
1107	ENSG00000165512	10	45495922	0.304136130035923	ZNF22
1108	ENSG00000168062	11	64755414	0.304797673119651	BATF2
1109	ENSG00000159885	19	44529493	0.308916174657503	ZNF222
1110	ENSG00000230257	7	102613968	0.310203584130837	NFE4
1111	ENSG00000177853	10	97889471	0.311142691781892	ZNF518A
1112	ENSG00000078399	7	27202053	0.311281342169529	HOXA9
1113	ENSG00000074219	19	49843851	0.31163131669786	TEAD2
1114	ENSG00000126804	14	64970429	0.312652433984891	ZBTB1
1116	ENSG00000100987	20	25051520	0.313113989715135	VSX1
1117	ENSG00000164093	4	111538578	0.313900465066742	PITX2
1118	ENSG00000060138	12	10851682	0.314779669208684	YBX3
1119	ENSG00000164334	5	118965253	0.315632571453194	FAM170A
1120	ENSG00000137270	6	52991761	0.3174302695068	GCM1
1121	ENSG00000204060	1	41827593	0.31871839227478	FOXO6
1122	ENSG00000139352	12	103351463	0.318783261983405	ASCL1
1123	ENSG00000007372	11	31806339	0.321851453395164	PAX6
1124	ENSG00000166704	19	58488420	0.322216876935789	ZNF606
1125	ENSG00000167685	19	56643967	0.322315062547314	ZNF444
1126	ENSG00000113761	5	176449696	0.322394544404336	ZNF346
1127	ENSG00000185811	7	50344377	0.323024452263272	IKZF1
1128	ENSG00000188785	19	57901217	0.323907044501609	ZNF548
1129	ENSG00000030419	2	213864428	0.326418847573519	IKZF2
1130	ENSG00000106038	7	27282163	0.326539137975699	EVX1
1131	ENSG00000177508	16	54317215	0.326572570529723	IRX3
1132	ENSG00000134323	2	16080685	0.327525943864692	MYCN
1133	ENSG00000188629	19	9435020	0.328302745192102	ZNF177
1134	ENSG00000105997	7	27145802	0.330895588669166	HOXA3
1135	ENSG00000235109	6	28292513	0.332165171636541	ZSCAN31
1136	ENSG00000052850	11	44281993	0.332297131728078	ALX4
1137	ENSG00000147601	8	73921098	0.333347779586468	TERF1
1138	ENSG00000179965	16	30418617	0.333575935927959	ZNF771
1139	ENSG00000165804	14	21558204	0.334267001510926	ZNF219
1140	ENSG00000178860	8	72753783	0.336808529583508	MSC
1141	ENSG00000169955	16	30537243	0.337339468669452	ZNF747
1142	ENSG00000253831	1	157061835	0.337463042863411	ETV3L
1143	ENSG00000169155	9	129567284	0.337805055247759	ZBTB43
1144	ENSG00000009950	7	73007523	0.337996802981778	MLXIPL
1145	ENSG00000104976	19	7985200	0.338392808338088	SNAPC2
1146	ENSG00000167380	19	44669225	0.343827961917373	ZNF226
1147	ENSG00000171970	19	2900895	0.34480838444421	ZNF57
1148	ENSG00000171448	9	125677844	0.345172180532055	ZBTB26
1149	ENSG00000079263	2	231067825	0.347104973820611	SP140
1150	ENSG00000167377	16	71481499	0.34868288272018	ZNF23
1151	ENSG00000121903	1	33938245	0.34988208201752	ZSCAN20
1152	ENSG00000167554	19	52839497	0.350375362618219	ZNF610
1153	ENSG00000128713	2	176968943	0.350499918900443	HOXD11
1154	ENSG00000100968	14	24834878	0.350644854357908	NFATC4
1155	ENSG00000152433	19	57874844	0.351363602031332	ZNF547
1156	ENSG00000198521	19	21987751	0.351414669459397	ZNF43
1157	ENSG00000198105	10	38091750	0.351612062613166	ZNF248
1158	ENSG00000168152	4	83821836	0.35404481210071	THAP9
1159	ENSG00000185219	3	44481261	0.355671145537464	ZNF445
1160	ENSG00000141579	17	80787310	0.356534218830169	ZNF750
1161	ENSG00000121454	1	180199420	0.357435416578207	LHX4
1162	ENSG00000128272	22	39915699	0.358188852932215	ATF4
1163	ENSG00000059122	16	2961937	0.359387754284162	FLYWCH1
1164	ENSG00000083817	19	58082933	0.361116957549947	ZNF416
1165	ENSG00000135547	6	126068809	0.361149407597048	HEY2
1166	ENSG00000205143	9	34621375	0.362008595708592	ARID3C
1167	ENSG00000064489	19	19256375	0.362316211759227	BORCS8-MEF2B
1168	ENSG00000143067	1	120162044	0.363867547541702	ZNF697
1170	ENSG00000085276	3	168801286	0.36955598426263	MECOM
1171	ENSG00000084093	4	57774074	0.369749161607053	REST
1172	ENSG00000010803	1	41492871	0.369904812584697	SCMH1
1173	ENSG00000136535	2	162272604	0.370300188710622	TBR1
1174	ENSG00000166454	16	81069451	0.370902987710987	ATMIN
1175	ENSG00000089335	19	35168543	0.373015194700053	ZNF302
1176	ENSG00000197124	19	20107866	0.375871638104697	ZNF682
1177	ENSG00000159917	19	44732881	0.375893769568964	ZNF235
1178	ENSG00000136931	9	127243515	0.37662220445068	NR5A1
1179	ENSG00000156273	21	30566391	0.378834305973676	BACH1
1180	ENSG00000070444	17	2287353	0.379610726199873	MNT
1181	ENSG00000118263	2	207938860	0.380284733159285	KLF7
1182	ENSG00000103449	16	51169885	0.383914388268596	SALL1
1183	ENSG00000172845	2	174771186	0.38437015435595	SP3
1184	ENSG00000075407	10	38383263	0.385000527661971	ZNF37A
1185	ENSG00000162086	16	3355405	0.386364589019947	ZNF75A
1186	ENSG00000073861	17	45810609	0.387369889344897	TBX21
1187	ENSG00000188070	11	63527363	0.387377377161253	C11orf95
1188	ENSG00000173153	11	64073043	0.387571033358353	ESRRA
1189	ENSG00000140548	15	90544623	0.388097411008398	ZNF710
1190	ENSG00000187855	12	108168161	0.388664089185864	ASCL4
1191	ENSG00000169635	22	21771692	0.39041118144493	HIC2
1192	ENSG00000111783	12	106976684	0.391978205241236	RFX4
1193	ENSG00000112333	6	108487261	0.392750130418604	NR2E1
1194	ENSG00000196700	20	62588054	0.393462411425957	ZNF512B
1196	ENSG00000123685	1	212859759	0.397590335421397	BATF3
1197	ENSG00000215271	14	23741665	0.39771276004748	HOMEZ
1198	ENSG00000256294	19	44616333	0.397789690404688	ZNF225
1199	ENSG00000169989	4	153690505	0.398779795443677	TIGD4
1200	ENSG00000138336	10	70320412	0.398838814739836	TET1
1201	ENSG00000244405	3	185764096	0.399228133062824	ETV5
1202	ENSG00000185002	6	117198374	0.401250252762727	RFX6
1203	ENSG00000213015	19	56146381	0.40149550982685	ZNF580
1204	ENSG00000204611	19	52616343	0.40168090874799	ZNF616
1205	ENSG00000257446	19	12154619	0.402998883438544	ZNF878
1206	ENSG00000177842	3	40547482	0.406042995938842	ZNF620
1207	ENSG00000178919	9	100615535	0.409066170022511	FOXE1
1208	ENSG00000213799	19	53837001	0.409344950785919	ZNF845
1209	ENSG00000213588	6	33422355	0.409637584364191	ZBTB9
1210	ENSG00000163132	4	4861392	0.410102946327338	MSX1
1211	ENSG00000066827	8	135490030	0.410942780513992	ZFAT
1212	ENSG00000204524	19	57751972	0.416823479913987	ZNF805
1213	ENSG00000196597	9	99578753	0.421610788422432	ZNF782
1214	ENSG00000129028	15	71173680	0.423749245910867	THAP10
1215	ENSG00000115112	2	121974162	0.424539169575316	TFCP2L1
1216	ENSG00000180535	7	97840738	0.428748980309935	BHLHA15
1217	ENSG00000166529	7	99647389	0.43343325269991	ZSCAN21
1218	ENSG00000041988	1	6684925	0.433615380369506	THAP3
1219	ENSG00000198914	2	105471968	0.437403395837058	POU3F3
1220	ENSG00000132604	16	69389463	0.440267859874813	TERF2
1221	ENSG00000179922	19	56132107	0.446257656226743	ZNF784
1222	ENSG00000102974	16	67596309	0.446349458592849	CTCF
1223	ENSG00000159915	19	44754317	0.452191387079957	ZNF233
1224	ENSG00000186130	9	125670334	0.454453445345735	ZBTB6
1225	ENSG00000121068	17	59477256	0.456124137313918	TBX2
1226	ENSG00000186376	23	134382866	0.45693814611955	ZNF75D
1227	ENSG00000181472	6	151685251	0.457971614287558	ZBTB2
1228	ENSG00000019549	8	49830248	0.458011675780448	SNAI2
1229	ENSG00000204103	20	39314487	0.458658682900502	MAFB
1230	ENSG00000127445	19	9945932	0.460920456091429	PIN1
1231	ENSG00000198740	17	47366567	0.461957178871335	ZNF652
1232	ENSG00000141644	18	47793251	0.464687000475064	MBD1
1233	ENSG00000124092	20	56071034	0.465801571476093	CTCFL
1234	ENSG00000196391	15	90895476	0.468241029645638	ZNF774
1235	ENSG00000125812	20	23342786	0.468681724819818	GZF1
1236	ENSG00000028839	6	134273307	0.471161715155883	TBPL1
1237	ENSG00000141258	17	2240791	0.471664460235616	SGSM2
1238	ENSG00000213967	19	24097678	0.47381850595557	ZNF726
1239	ENSG00000159263	21	38071432	0.474951076451764	SIM2
1240	ENSG00000025156	6	122720690	0.477792121345203	HSF2
1241	ENSG00000057657	6	106534194	0.47850422785238	PRDM1
1243	ENSG00000171574	19	58912870	0.48258298905577	ZNF584
1244	ENSG00000006047	17	7191570	0.483843056146629	YBX2
1245	ENSG00000256463	18	76740274	0.484690260122079	SALL3
1246	ENSG00000185591	12	53773959	0.484962513353912	SP1
1247	ENSG00000105967	7	115575201	0.488451157347962	TFEC
1248	ENSG00000196172	19	23921996	0.489217455646271	ZNF681
1249	ENSG00000106624	7	44143959	0.490098610737435	AEBP1
1250	ENSG00000196132	20	62783143	0.491465632976918	MYT1
1251	ENSG00000122691	7	19060613	0.494529734482123	TWIST1
1252	ENSG00000125285	13	95361885	0.49543335404973	SOX21
1253	ENSG00000170374	12	53720361	0.496517720339691	SP7
1254	ENSG00000092067	14	23586512	0.498590027886257	CEBPE
1255	ENSG00000112200	6	56954807	0.502243157116387	ZNF451
1256	ENSG00000157613	11	46299211	0.502595941610948	CREB3L1
1257	ENSG00000168214	4	26165076	0.504060549856244	RBPJ
1258	ENSG00000127124	1	41972035	0.504566025731238	HIVEP3
1259	ENSG00000105392	19	48322702	0.504933741936526	CRX
1260	ENSG00000112837	6	85397090	0.506537856785195	TBX18
1261	ENSG00000112246	6	100832890	0.512399674587777	SIM1
1262	ENSG00000140987	16	3432084	0.514925229366416	ZSCAN32
1263	ENSG00000127081	9	95607873	0.519642894227054	ZNF484
1264	ENSG00000135638	2	73143388	0.520542698848226	EMX1
1265	ENSG00000054598	6	1610680	0.521587428328822	FOXC1
1266	ENSG00000135365	11	45950870	0.525373681572065	PHF21A
1267	ENSG00000198783	17	33288548	0.525956104975172	ZNF830
1268	ENSG00000160199	21	44394619	0.530911078412364	PKNOX1
1269	ENSG00000164749	8	76320148	0.531544043801028	HNF4G
1270	ENSG00000125850	20	17937622	0.531627543701305	OVOL2
1271	ENSG00000179930	1	182023704	0.531918866211457	ZNF648
1272	ENSG00000204532	19	56713669	0.533293669437409	ZSCAN5C
1273	ENSG00000189308	4	83845755	0.5333302269289	LIN54
1274	ENSG00000180346	4	90033967	0.533450100515616	TIGD2
1275	ENSG00000197063	17	79876145	0.539877052320475	MAFG
1276	ENSG00000176692	16	86600856	0.542019472107852	FOXC2
1277	ENSG00000176946	2	242523819	0.544747194068838	THAP4
1278	ENSG00000065978	1	43148097	0.545094135747509	YBX1
1279	ENSG00000182141	19	21473961	0.545172209799337	ZNF708
1280	ENSG00000167384	19	44979853	0.545644018470543	ZNF180
1281	ENSG00000273274	1	32930669	0.546050110135704	ZBTB8B
1282	ENSG00000137492	11	76060999	0.548359092995714	THAP12
1283	ENSG00000100644	14	62162230	0.550598094540762	HIF1A
1284	ENSG00000120149	5	174151535	0.556587578524231	MSX2
1285	ENSG00000107175	9	35732331	0.557030903133064	CREB3
1286	ENSG00000140262	15	57210820	0.557539164175734	TCF12
1287	ENSG00000197114	20	62338816	0.557763130793716	ZGPAT
1288	ENSG00000213988	19	20188802	0.558672585927143	ZNF90
1289	ENSG00000174796	4	76439155	0.560028100062836	THAP6
1290	ENSG00000079432	19	42772688	0.563942707798102	CIC
1291	ENSG00000229809	16	30580666	0.56608878767959	ZNF688
1292	ENSG00000120798	12	95414004	0.569471796293976	NR2C1
1293	ENSG00000198315	6	28109687	0.570132058612093	ZKSCAN8
1294	ENSG00000107859	10	103989942	0.571515801010579	PITX3
1295	ENSG00000164048	3	48282589	0.573660232767077	ZNF589
1296	ENSG00000186020	19	37039002	0.57665860716088	ZNF529
1297	ENSG00000106948	9	117096435	0.583265160234422	AKNA
1298	ENSG00000171532	17	37759788	0.586299019299333	NEUROD2
1299	ENSG00000196267	19	52657116	0.588654384970635	ZNF836
1300	ENSG00000114315	3	193853933	0.589203431321664	HES1
1301	ENSG00000067646	24	2803111	0.594592333258861	ZFY
1302	ENSG00000120094	17	46605887	0.594899682418149	HOXB1
1303	ENSG00000125813	20	21686296	0.595471812044897	PAX1
1304	ENSG00000067066	2	231280656	0.595607560595815	SP100
1305	ENSG00000066336	11	47376410	0.59586865939092	SPI1
1306	ENSG00000170561	5	2748924	0.595902305358613	IRX2
1307	ENSG00000085274	3	169490618	0.59834754675151	MYNN
1308	ENSG00000142065	19	36827161	0.601409702284339	ZFP14
1309	ENSG00000174197	15	41913421	0.60151061673424	MGA
1310	ENSG00000152439	19	58011282	0.605481832813331	ZNF773
1311	ENSG00000111145	12	96588159	0.606883495691703	ELK3
1312	ENSG00000177045	19	46268042	0.608885557798888	SIX5
1313	ENSG00000160685	1	154975126	0.610037627780635	ZBTB7B
1314	ENSG00000118217	1	161736083	0.610145688098194	ATF6
1315	ENSG00000145908	5	150273953	0.611615353449548	ZNF300
